カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
通信・ネットワーク テクノロジー,ソフトバンク株式会社,"生成AIの学びを実務に。「コンテスト」機能が生み出す自走型DX～「Axross Recipe」を活用した
                                                                ...","ソフトバンクのCS本部では、生成AIの実務活用を促進するため、Axross Recipe for
                                                                Bizの「コンテスト機能」を試験導入。社員が自ら業務改善にAIを活用する仕組みを整えた。参加型プロジェクトやスキルの見える化により、現場主体のアイデア創出と共有を実現。116件のアイデアが集まり、一部は実装へ。成功体験が自走型DXと組織変革を加速させています。",業務プロセス改善 個人の生産性向上,softbank.jp/biz…ntest/ (https://www.softbank.jp/biz/blog/business/articles/202508/axross-contest/),S saeki kazuhiro
AI テクノロジー,富士通株式会社,"Palantirとの戦略的なグローバルパートナーシップを強化し、企業における生成AIの業務 ... -
                                                                Fujitsu","富士通株式会社はPalantir Technologies
                                                                Japan株式会社と、生成AIを業務に容易に組み込むためのプラットフォーム「Palantir
                                                                AIP」に関するライセンス契約を締結しました。これにより、富士通は「Palantir
                                                                AIP」を国内外の顧客に提供し、「Fujitsu
                                                                Uvance」のオファリングに組み込むことで、顧客の業務における生成AIの実装と経営意思決定の高度化を支援し、業務変革に貢献します。また、富士通は既に社内でPalantir
                                                                AIPを活用し、業務負荷の削減や意思決定の迅速化などの成果を確認しており、2029年度末までにこのパートナーシップを通じて1億米国ドル規模の売上を目指します。",業務プロセス改善 既存事業の価値向上 個人の生産性向上,global.fujitsu/ja-…/19-01 (https://global.fujitsu/ja-jp/pr/news/2025/08/19-01),K kosuke takaki
通信・ネットワーク テクノロジー AI,KDDI株式会社,"通信・ロボット・AIを起点に働く空間・訪れる空間づくりを支援する「KDDI Smart Space
                                                                Design ...","KDDIは、通信・ロボット・AI技術を活用し、オフィスや商業施設などの空間設計から構築、運用までを一貫して支援する「KDDI
                                                                Smart Space
                                                                Design」の提供を開始します。生成AIによる設計作業の効率化、AIを活用したロボット配送や混雑状況可視化、AIカメラによるセキュリティ強化などを通じ、働く人々の生産性向上と訪れる人々の体験価値向上を目指します。",業務プロセス改善 既存事業の価値向上 個人の生産性向上,newsroom.kddi.com/new…6.html (https://newsroom.kddi.com/news/detail/kddi_nr-700_4076.html),S saeki kazuhiro
テクノロジー AI,株式会社ラック,"ラックの社員が、「Microsoft Top Partner Engineer Award
                                                                2025」を受賞しました","株式会社ラックの谷口隼祐と土井秀記が、日本マイクロソフト株式会社のアワード「Microsoft Top
                                                                Partner Engineer Award
                                                                2025」を受賞しました。生成AIを活用したセキュリティ運用の自動化やMicrosoftテクノロジーの社内普及活動が特に高く評価され、谷口は3年連続、土井は2年連続の受賞となります。",業務プロセス改善 既存事業の価値向上,lac.co.jp/new…1.html (https://www.lac.co.jp/news/2025/08/18_news_01.html),K kosuke takaki
AI テクノロジー,株式会社ヘッドウォータース,ヘッドウォータース、BTMと共同でAIエージェント事業を本格始動 - PR TIMES,"株式会社ヘッドウォータースと株式会社BTMは、AIエージェント事業を本格始動すると発表しました。ヘッドウォータースの高度なAI技術力とBTMの全国ネットワーク・IT人材を組み合わせ、地方企業・自治体を含む全国へのAIソリューション展開を加速します。既に金融機関や製造業でAIエージェントの実証が進み、99%以上の応答精度を実現。今後はMicrosoft
                                                                Fabricを活用したAI-Agent-Readyデータプラットフォーム構築支援サービスを企画し、2025年内の正式リリースを目指します。両社は人材育成・エンジニアリング強化にも取り組み、AI案件対応体制を強化しています。",新規事業の創出 業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000266.000018045.html),K kosuke takaki
テクノロジー メディア・広告・出版 コンサル・士業 サービス業,"株式会社Faber
                                                                    Company","日本初【AI×SEO】メディアローンチ｜生成AI時代の検索を解剖するナレッジ集結 - PR
                                                                TIMES","株式会社Faber
                                                                Companyは、生成AIの進化により変化する検索エンジンの動向を解説するナレッジメディア『AI×SEO』を正式リリースしました。このメディアは、SEO・マーケティング担当者の実践力向上を目的とし、国内トップクラスのSEO専門家や生成AI研究者による寄稿・監修記事、世界のAI関連ニュースの日本語要約、および実務に役立つTipsとケーススタディを提供します。",業務プロセス改善 既存事業の価値向上 新規事業の創出,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000283.000031263.html),K kosuke takaki
メディア・広告・出版 AI,株式会社サイバーエージェント,"AI Lab、マルチメディア分野のトップカンファレンス「ACM MM
                                                                2025」にて2本の論文採択","株式会社サイバーエージェントのAI Labが、マルチメディア分野のトップカンファレンス「ACM MM
                                                                2025」で2本の論文が採択されたことを発表しました。採択された論文は、拡散モデルにおける色彩制御の強化と、グラフィックデザインの自動化・効率化を目指す新たなAI技術「MarkupDM」に関するもので、広告クリエイティブ制作など多様な業務への応用が期待されます。",業務プロセス改善 既存事業の価値向上,cyberagent.co.jp/new…=32329 (https://www.cyberagent.co.jp/news/detail/id=32329),田中宏明
テクノロジー AI,株式会社NTTデータグループ,"Google Cloudとグローバルパートナーシップを締結し、業界に特化したエージェント型AI導入と
                                                                ...","株式会社NTTデータグループはGoogle
                                                                Cloudとグローバルパートナーシップを締結し、業界に特化したエージェント型AI導入およびクラウドモダナイゼーションを加速させます。本提携により、両社は業界特化型AI・クラウドソリューションを50以上開発し、銀行、保険、製造、小売、ヘルスケア、ライフサイエンス、公共部門など幅広い分野の企業の変革を支援します。また、厳格なセキュリティ要件に対応するため、ソブリンクラウド関連サービスの提供にも注力し、数千人規模のGoogle
                                                                Cloudビジネス専門グループを設立し、グローバルでのデリバリー体制を強化します。",業務プロセス改善 既存事業の価値向上,nttdata.com/glo…81300/ (https://www.nttdata.com/global/ja/news/topics/2025/081300/),K kosuke takaki
メディア・広告・出版,株式会社サイバーエージェント,"AIが広告効果を可視化し、簡易分析を実施する「シーエーアシスタント」 広告主の担当者専属AI
                                                                ...",サイバーエージェントが、広告主企業向けにAIが広告効果を可視化し簡易分析を行うシステム「シーエーアシスタント」の提供を開始した。これにより、広告主はAIとの自然対話を通じて最短5分で広告効果レポートの設計・作成・出力が可能となり、膨大な時間と人的工数の削減を実現する。今後は施策立案AI機能やリアルタイム運用機能も追加予定。,個人の生産性向上 業務プロセス改善 既存事業の価値向上,cyberagent.co.jp/new…=32299 (https://www.cyberagent.co.jp/news/detail/id=32299),田中宏明
食品・消費財,ユニ・チャーム株式会社,"AnyMind Group、ユニ・チャームと日本国内におけるTikTok
                                                                Shop活用に関する支援契約を締結","AnyMind Groupが、ユニ・チャームと日本国内におけるTikTok
                                                                Shop活用支援契約を締結したプレスリリース。ユニ・チャームは、AnyMind
                                                                Groupの生成AIライブコマースプラットフォーム「AnyLive」や、AIを活用したインフルエンサーマーケティングプラットフォーム「AnyTag」などを活用し、TikTok
                                                                Shopでの販売促進、売上拡大、ブランドエンゲージメント向上を目指す。",既存事業の価値向上 業務プロセス改善,anymindgroup.com/ja/…tts-jp (https://anymindgroup.com/ja/news/press-release/unicharm-tts-jp),茨 茨木雄太
テクノロジー コンサル・士業,株式会社電通総研,"電通総研、Salesforceの自律型AIエージェント「Agentforce（エージェントフォース）」の短期導入
                                                                ...",電通総研は、Salesforceの自律型AIエージェント「Agentforce（エージェントフォース）」の短期導入・活用支援サービスの提供を開始しました。本サービスは、同社が培ってきたSalesforce製品の導入実績や顧客接点改革領域でのコンサルティング・システム導入実績を基に、業務要件整理から環境構築、プロンプト設計、活用支援、運用サポートまでを一貫して提供します。商談準備の自動化や商談後営業メール生成といった具体的なユースケースを社内検証済みで、生成AIを活用した顧客接点改革と営業活動の業務効率化を支援します。,業務プロセス改善 既存事業の価値向上,dentsusoken.com/new…8.html (https://www.dentsusoken.com/news/topics/2025/0808.html),K kosuke takaki
公共・自治体,国立研究開発法人新エネルギー・産業技術総合開発機構,"ロボティクス分野の生成AI基盤モデルの開発に有効なデータプラットフォームの研究開発に着手し
                                                                ...",NEDOはロボティクス分野の生成AI基盤モデル開発に有効なデータプラットフォームの研究開発に着手しました。本事業では、データ収集、基盤モデルの開発、実現場での実証を通じて、日本のAIロボティクス実装力と国際競争力の強化を目指します。この研究開発テーマは一般社団法人AIロボット協会が実施予定です。,業務プロセス改善 新規事業の創出,nedo.go.jp/new…7.html (https://www.nedo.go.jp/news/press/AA5_101877.html),S saeki kazuhiro
メディア・広告・出版 AI,株式会社サイバーエージェント,"クリエイティブ生成AIプラットフォーム「AI SCREAM」にGPT-5を実装 AIクリエイティブBPO事業
                                                                ...","サイバーエージェントは、クリエイティブ生成AIプラットフォーム「AI
                                                                SCREAM」にOpenAI社の最新AIモデル「GPT-5」を実装したと発表しました。これにより、日本語入力で高精度な英語プロンプト生成が可能となり、社内でのクリエイティブ制作の生産性を大幅に向上させます。今後は、この技術と実績を活かし、「AIクリエイティブBPO事業」として外部企業への展開も推進し、企業のクリエイティブ制作業務改革を支援していく方針です。",個人の生産性向上 業務プロセス改善 新規事業の創出,cyberagent.co.jp/new…=32318 (https://www.cyberagent.co.jp/news/detail/id=32318),田中宏明
公共・自治体,奈良市役所,【奈良市】生成AIを活用したチャットボットの試験運用を開始 - PR TIMES,"奈良市は、2025年8月7日から生成AIを活用したチャットボットの試験運用を公式ホームページで開始します。これにより、市民や観光客からの問い合わせに24時間365日多言語で対応可能となり、住民サービスの向上と職員の業務負担軽減を目指します。ChatGPTを搭載した「GOV
                                                                AI」を利用し、回答精度を高め、既存システムとの連携・最適化を進めます。",業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000370.000036429.html),S saeki kazuhiro
製造,シャープ株式会社,"コンビニエンスストア向け「ネットワークプリント」において「Adobe Express」と連携した印刷
                                                                ...","シャープマーケティングジャパン株式会社は、アドビ株式会社のデザインアプリ「Adobe
                                                                Express」（生成AI搭載）で作成したデータを、全国のコンビニエンスストアに設置されたシャープ製マルチコピー機で手軽に印刷できるサービスを開始しました。この連携により、チラシ、ポスター、ステッカーなどを高品質な光沢紙やシール紙にも印刷可能になり、イベント告知やビジネス資料など多様な用途での活用が期待されます。",既存事業の価値向上,corporate.jp.sharp/new…a.html (https://corporate.jp.sharp/news/250807-a.html),茨 茨木雄太
AI テクノロジー,日鉄ソリューションズ株式会社,"生成AIプラットフォーム「Alli LLM App
                                                                Market」の「AIエージェント」の取り扱いを開始。AIが ...","日鉄ソリューションズ株式会社が、Allganize
                                                                Japan株式会社との販売代理店契約に基づき、生成AIプラットフォーム「Alli LLM App
                                                                Market」の新機能であるAIエージェントの取り扱いを開始したことを発表。このAIエージェントは、複雑な業務の効率化やワークフロー全体の自動化を可能にし、ノーコードでのAIエージェント構築機能や、BI、RAG、Sales、Legalなどの専門エージェントの提供、オンプレミスなどのプライベート環境への対応が特徴。",業務プロセス改善 既存事業の価値向上,nssol.nipponsteel.com/pre…0.html (https://www.nssol.nipponsteel.com/press/2025/20250807_150000.html),K kosuke takaki
メディア・広告・出版 テクノロジー,LINEヤフー株式会社,Yahoo!広告 検索広告、生成AIによる「クイックリンクアセット」の 提案機能を提供開始,"LINEヤフー株式会社は、「Yahoo!広告
                                                                検索広告」において、生成AIが「クイックリンクアセット」を提案する機能の提供を開始しました。これにより、広告主が手動で行っていたタイトルや説明文の作成が自動化され、広告設定にかかる手間や時間を軽減し、業務負担を大幅に削減します。この機能は、既存の広告文・キーワード提案機能と合わせて活用でき、広告主の生産性向上に貢献します。",業務プロセス改善 既存事業の価値向上,lycorp.co.jp/ja/…18394/ (https://www.lycorp.co.jp/ja/news/release/018394/),田中宏明
AI,株式会社Sapeet,"AIロープレ「カルティ
                                                                ロープレ」、生成AIで理想のロープレシーンを自動作成する新機能を提供開始","株式会社Sapeetは、生成AIを活用したロールプレイングシステム「カルティ
                                                                ロープレ」に、理想のロープレシーンを自動作成する新機能「シーン作成AI」を実装しました。これにより、シナリオ設計の工数を大幅に削減し、研修の質と量を向上させます。また、社内資料に基づいた実践的なシーン設計や、詳細なペルソナ・多様なシナリオ・評価軸の自動生成が可能です。今後は、より自然な音声モデルの実装や非言語情報の評価機能の開発を進める予定です。",個人の生産性向上 業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000072.000026498.html),茨 茨木雄太
AI メディア・広告・出版,LINEヤフー株式会社,Yahoo!検索、映画のレビューを生成AIが要約し、検索結果上に表示する機能を提供開始,"LINEヤフー株式会社は「Yahoo!検索」において、約7,500作品の映画レビューを生成AIが要約し、検索結果上に表示する機能の提供を開始しました。ネタバレに配慮し、「ネタバレなし」と「ネタバレあり」の2種類の要約が提供され、ユーザーが効率的に映画情報を収集できるようになります。",業務プロセス改善 既存事業の価値向上,lycorp.co.jp/ja/…18384/ (https://www.lycorp.co.jp/ja/news/release/018384/),茨 茨木雄太
教育 通信・ネットワーク,NTT西日本株式会社,"立命館とNTT西日本、教育向け生成AIの共同開発・活用推進を開始 ～「個別最適な学び」と「協働
                                                                ...",NTT西日本と学校法人立命館は、教育向け生成AIの共同開発・活用推進を開始しました。本取り組みは、「個別最適な学び」と「協働的な学び」の一体的な充実をめざし、立命館学園の児童・生徒・学生・卒業生を対象としています。具体的には、生成AI、電子教科書、LMS、AI会話履歴、NTT西日本の認証・連携サービス「LinkU-ID」、そしてLinkedInラーニングを連携させ、学習の個性化、生涯学習基盤の提供、そして先輩の学びの軌跡をもとにしたキャリア検討の仕組みやアルムナイネットワークの構築を目指します。,業務プロセス改善 既存事業の価値向上 新規事業の創出,ntt-west.co.jp/new…a.html (https://www.ntt-west.co.jp/news/2508/250806a.html),S saeki kazuhiro
メディア・広告・出版,博報堂ＤＹホールディングス,"博報堂ＤＹホールディングス、アドビとの共催「生成AIクリエイターワークショップ ... - PR
                                                                TIMES","博報堂ＤＹホールディングスがアドビと共催で「生成AIクリエイターワークショップ」を開催し、のべ1,000名超のクリエイターが参加しました。このワークショップは、AI活用による「人間の創造性の進化・拡張」と企業のマーケティング支援の高度化を目指し、最先端の生成AIツールの実践スキルを習得させました。",個人の生産性向上 業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000155.000036543.html),田中宏明
金融・保険,株式会社野村総合研究所,生成AIを用いた仮想マーケットデータシナリオ生成 | レポート | 野村総合研究所(NRI),本記事は、生成AIを用いた仮想マーケットデータシナリオ生成について論じたレポートです。清算機関（CCP）のリスク管理における生成AI（変分オートエンコーダ：VAE）の有用性を検討し、金融分野の数値データを用いてTONA3か月先物市場データの生成に適用。その結果、VAEが主成分分析（PCA）と比較してより多様なシナリオを生成し、期待ショートフォールおよびバリュー・アット・リスク（ES-VaR）の算定に影響を与えることが明らかになり、生成AIのリスク管理分野への応用可能性が示唆されています。,業務プロセス改善 既存事業の価値向上,nri.com/jp/…1.html (https://www.nri.com/jp/knowledge/report/20250804_1.html),茨 茨木雄太
金融・保険,株式会社日本取引所グループ,"JPXワーキング・ペーパーVol.48『生成AIを用いた仮想マーケットデータシナリオ生成』を公表しま
                                                                ...",株式会社日本取引所グループが、生成AIを用いて仮想マーケットデータシナリオを生成する研究成果をまとめたJPXワーキング・ペーパーVol.48を公表しました。これは日本の金融資本市場全体の競争力強化に向けた調査・研究の一環です。,既存事業の価値向上 新規事業の創出,jpx.co.jp/cor…1.html (https://www.jpx.co.jp/corporate/news/news-releases/0010/20250804-01.html),茨 茨木雄太
メディア・広告・出版 AI,株式会社セプテーニ,"セプテーニ、AIドリブンマーケティングを推進するデライトチューブと連携し、AIO対策を兼ね備え
                                                                ...","株式会社セプテーニが連結子会社の株式会社デライトチューブと連携し、Googleの「AI
                                                                Overviews」や大規模言語モデルに対応したAIO（AI最適化）対策を兼ね備えたSEO対策支援サービスの提供を開始しました。本サービスは、AIを含めた検索結果の最適化を図り、戦略立案から実行、コンテンツ制作までを一気通貫で支援することで、企業のマーケティング成果向上に貢献します。",業務プロセス改善 既存事業の価値向上,septeni-holdings.co.jp/new…7.html (https://www.septeni-holdings.co.jp/news/release/2025/08014047.html),田中宏明
メディア・広告・出版,株式会社博報堂ＤＹホールディングス,博報堂ＤＹグループ「AIメンタリング」制度を導入 - PR TIMES,博報堂ＤＹホールディングスは、経営層のAI活用促進とエイジダイバーシティ推進のため、「AIメンタリング」制度を導入しました。若手社員が経営層にAIツールトレーニングやプロンプトの工夫をサポートし、経営層は自身の知見を若手社員に提供する相互補完型のプログラムです。テストケースでは経営層のAI利用回数が3倍になり、業務時間削減とクリエイティビティ拡張に貢献。今後は全グループに拡大し、AI実装による企業のマーケティング支援の高度化を目指します。,個人の生産性向上 業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000151.000036543.html),田中宏明
金融・保険,株式会社りそなホールディングス,"りそなグループと日本マイクロソフトが戦略的枠組み締結。生成 AI を活用し CX を加速 -
                                                                Microsoft","りそなホールディングスと日本マイクロソフトは、生成AIを活用し顧客体験（CX）を加速させる戦略的枠組み契約を締結しました。このパートナーシップは、人財育成から業務変革まで包括的に取り組むもので、ルーティン作業を削減し、人とAIが協働して価値創造に集中する新たなビジネスモデルへの転換を目指します。具体的には、Microsoft
                                                                365 E5の導入やAzure OpenAI
                                                                Serviceの活用により、従業員の生産性向上と業務効率化を図り、将来的には「ルーティン作業2割、価値創造業務8割」の働き方を実現することで、金融業界全体のデジタル変革を牽引するモデルケースとなることを目指しています。",個人の生産性向上 業務プロセス改善 既存事業の価値向上,microsoft.com/ja-…ticle/ (https://www.microsoft.com/ja-jp/industry/blog/financial-services/2025/08/01/resona-microsoft-cx-article/),茨 茨木雄太
通信・ネットワーク AI,KDDI株式会社,"NEDO開発事業「量子コンピューターの産業化のためのミドルウエア開発」に採択 | KDDI News
                                                                ...",KDDIは、NEDO（国立研究開発法人新エネルギー・産業技術総合開発機構）の「ポスト5G情報通信システム基盤強化研究開発事業」に採択され、量子コンピューターの産業利用加速に向けた「AI・量子共通基盤の研究開発」を開始することを発表しました。この取り組みを通じて、専門知識がなくても量子技術を利用できるプラットフォームと、AIと量子コンピューターの計算資源を融合する技術の確立を目指します。株式会社セック、KDDI総合研究所、株式会社Jij、株式会社QunaSys、国立研究開発法人産業技術総合研究所、学校法人早稲田大学、学校法人慶應義塾、国立大学法人大阪大学、学校法人芝浦工業大学と連携して研究開発を進めます。,新規事業の創出,newsroom.kddi.com/new…7.html (https://newsroom.kddi.com/news/detail/kddi_nr-680_4047.html),茨 茨木雄太
公共・自治体,北九州市,"【福岡県北九州市（北九州市役所）】OpenAIと生成AIの活用に関する連携を開始！ - PR
                                                                TIMES","北九州市はOpenAIと生成AIの活用に関する連携を開始しました。第一弾としてChatGPT
                                                                Enterpriseを活用し、政策立案の高度化・迅速化、自治体におけるユースケース創出・展開を進めます。将来的には福祉・防災・環境・教育などの社会課題解決や市民サービス向上を目指し、AI時代の新たな自治体モデル創出に取り組みます。",業務プロセス改善 既存事業の価値向上 新規事業の創出,prtimes.jp/mai…7.html (https://prtimes.jp/main/html/rd/p/000000237.000076777.html),S saeki kazuhiro
テクノロジー,株式会社インティメート・マージャー,"インティメート・マージャー、生成AI利用者の約38万件のデータから読み解く最新傾向の調査結果
                                                                ...",株式会社インティメート・マージャーが、自社の保有する約10億件のオーディエンスデータ「IM-DMP」を活用し、ChatGPT、Gemini、Perplexity、Claudeといった主要な生成AIサービス利用者の最新傾向を約38万件のデータから分析した調査結果を公開しました。本調査では、各生成AI利用者の職業、年齢、年収などのデモグラフィック属性、興味関心、閲覧キーワード、ペルソナ情報を詳細に比較分析し、生成AI市場が「汎用的な日常アシスタントAI」と「特定業務・分野に特化した専門AI」に二極化が進むと予測しています。,既存事業の価値向上,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000161.000084943.html),田中宏明
小売・流通・商社,株式会社ZOZO,ZOZO、開発AIエージェントを全エンジニアに導入 - 株式会社ZOZO,"株式会社ZOZOは、全エンジニアを対象に開発AIエージェントを導入しました。（GitHub
                                                                Copilot、Gemini、NotebookLM、ChatGPTなどの環境に加えて）これにより、開発業務の自動化とエンジニアのスキルおよび開発生産性の向上を目指し、さらなる価値創出を図ります。",個人の生産性向上 業務プロセス改善,corp.zozo.com/new…07217/ (https://corp.zozo.com/news/20250729-007217/),K kosuke takaki
コンサル・士業 テクノロジー,野村総合研究所,"生成AIハッカソン「AI Challenge DAY」で野村総合研究所がグランプリ、セキュリティ＆トラスト
                                                                ...","野村総合研究所が生成AIハッカソン「AI Challenge DAY
                                                                第4回」に参加し、ECサイトにおけるAIエージェントとAIアバターを組み合わせた次世代顧客体験の提案でグランプリとセキュリティ＆トラスト賞を同時受賞しました。同社は、ユーザーのペルソナ作成、パーソナライズされた接客、LangGraphを用いた専門エージェントへの対応振り分け、RAGによる最適な商品提案、個人情報保護を考慮した決済処理分離といった技術で高い評価を得ました。",既存事業の価値向上,nri.com/jp/…9.html (https://www.nri.com/jp/media/topics/20250729.html),K kosuke takaki
